headerdatestamp|headeridentifier|headersetSpec|metadata.oai_dc:dc.dc:contributor.0|metadata.oai_dc:dc.dc:contributor.1|metadata.oai_dc:dc.dc:creator.0|metadata.oai_dc:dc.dc:creator.1|metadata.oai_dc:dc.dc:creator.2|metadata.oai_dc:dc.dc:creator.3|metadata.oai_dc:dc.dc:description.0|metadata.oai_dc:dc.dc:description.1|metadata.oai_dc:dc.dc:subject.0|metadata.oai_dc:dc.dc:subject.1|metadata.oai_dc:dc.dc:subject.2|metadata.oai_dc:dc.dc:subject.3|metadata.oai_dc:dc.dc:subject.4|metadata.oai_dc:dc.dc:subject.5|metadata.oai_dc:dc.dc:subject.6|metadata.oai_dc:dc.dc:subject.7|metadata.oai_dc:dc.dc:title.0|metadata.oai_dc:dc.dc:title.1|metadata.oai_dc:dc@xmlns:dc|metadata.oai_dc:dc@xmlns:oai_dc|metadata.oai_dc:dc@xmlns:xsi|metadata.oai_dc:dc@xsi:schemaLocation|metadata.oai_dc:dcdc:contributor|metadata.oai_dc:dcdc:creator|metadata.oai_dc:dcdc:date|metadata.oai_dc:dcdc:description|metadata.oai_dc:dcdc:format|metadata.oai_dc:dcdc:identifier|metadata.oai_dc:dcdc:language|metadata.oai_dc:dcdc:publisher|metadata.oai_dc:dcdc:rights|metadata.oai_dc:dcdc:subject|metadata.oai_dc:dcdc:title|metadata.oai_dc:dcdc:type
2009-03-06T21:35:03Z|PA0306|tdh|    |    |    |    |    |    |Document ID: pa0306|This is a letter dated March 25. 1817 to Return J. Meigs from a William Wells regarding a business deal made with Meigs two years prior.|Business enterprises|Letters|Meigs, Return Jonathan, 1764-1825|Tennessee|    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|University of Tennessee Special Collections Library, Knoxville|Wells, William|1817-03-25|    |Text/html|http://idserver.utk.edu/?id=200400000007525|en|University of Tennessee Special Collections Library|This work is the property of the Special Collections Library, University of Tennessee, Knoxville, TN. It may be used freely by individuals for research, teaching, and personal use as long as this statement of availability is included in the text. For all other use contact the Special Collections Librarian, Hoskins Library, University of Tennessee, 1401 Cumberland Avenue, Knoxville, TN 37996. (865) 974-4480.|    |[Letter] 1817 Mar. 25, Augusta, Georgia [to] Colonel R.J. Meigs, Highwassee, Tennessee / William Wells : a machine readable transcription of an image|Text
2009-03-06T21:35:03Z|PA0307|tdh|    |    |    |    |    |    |Document ID: pa0307|This document is a receipt for payment to Lewis Ross from the United States, dated July 23, 1820. Ross was paid three dollars and 12 and one half cents for forage during the time he looked after the Cherokee Light House.|Southern States|Food|Cherokee Indians|Receipts (Acknowledgments)|    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|University of Tennessee Special Collections Library, Knoxville|    |1820-07-23|    |Text/html|http://idserver.utk.edu/?id=200400000007526|en|University of Tennessee Special Collections Library|This work is the property of the Special Collections Library, University of Tennessee, Knoxville, TN. It may be used freely by individuals for research, teaching, and personal use as long as this statement of availability is included in the text. For all other use contact the Special Collections Librarian, Hoskins Library, University of Tennessee, 1401 Cumberland Avenue, Knoxville, TN 37996. (865) 974-4480.|    |[Receipt] 1820 Jul. 23, The United States to Lewis Ross : a machine readable transcription of an image|Text
2009-03-06T21:35:03Z|PA0308|tdh|    |    |    |    |    |    |Document ID: pa0308|This document is a claim against the United States by Edward Welch, a member of the Eastern Cherokee Nation. Welch was dispossessed of his land and personal property and asked for 1,291.00 dollars in compensation.|Southern States|Cherokee Indians|Claims|    |    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|University of Tennessee Special Collections Library, Knoxville|    |1842-04-12|    |Text/html|http://idserver.utk.edu/?id=200400000007527|en|University of Tennessee Special Collections Library|This work is the property of the Special Collections Library, University of Tennessee, Knoxville, TN. It may be used freely by individuals for research, teaching, and personal use as long as this statement of availability is included in the text. For all other use contact the Special Collections Librarian, Hoskins Library, University of Tennessee, 1401 Cumberland Avenue, Knoxville, TN 37996. (865) 974-4480.|    |[Claim] 1842 Apr. 12, Tahlequah District, The United States to Edward Welch : a machine readable transcription of an image|Text
2009-03-06T21:35:03Z|PA0309|tdh|    |    |    |    |    |    |Document ID: pa0309|This document is a spoliation claim made by Polly Vann of the Eastern Band of Cherokees against the United States for the amount of 264 dollars.|Southern States|Cherokee Indians|Claims|    |    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|University of Tennessee Special Collections Library, Knoxville|    |1842-04-18|    |Text/html|http://idserver.utk.edu/?id=200400000007528|en|University of Tennessee Special Collections Library|This work is the property of the Special Collections Library, University of Tennessee, Knoxville, TN. It may be used freely by individuals for research, teaching, and personal use as long as this statement of availability is included in the text. For all other use contact the Special Collections Librarian, Hoskins Library, University of Tennessee, 1401 Cumberland Avenue, Knoxville, TN 37996. (865) 974-4480.|    |[Claim] 1842 Apr. 18, The United States to Polly Vann : a machine readable transcription of an image|Text
2009-03-06T21:35:03Z|PA0310|tdh|    |    |    |    |    |    |Document ID: pa0310|This document is a spoliation claim against the United States by Hunter Langby who was dispossessed of his property in 1836.|Southern States|Cherokee Indians|Claims|    |    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|University of Tennessee Special Collections Library, Knoxville|    |1842-02-17|    |Text/html|http://idserver.utk.edu/?id=200400000007529|en|University of Tennessee Special Collections Library|This work is the property of the Special Collections Library, University of Tennessee, Knoxville, TN. It may be used freely by individuals for research, teaching, and personal use as long as this statement of availability is included in the text. For all other use contact the Special Collections Librarian, Hoskins Library, University of Tennessee, 1401 Cumberland Avenue, Knoxville, TN 37996. (865) 974-4480.|    |[Claim] 1842 Feb. 17, The United States to Hunter Langby : a machine readable transcription of an image|Text
2009-03-06T21:35:03Z|PA0311|tdh|    |    |    |    |    |    |Document ID: pa0311|This document is a claim against the United States by John H. Stover, who lost two hundred dollars he paid as security for a William M. Green. Green ran away causing Stover to be sued and the United States rejected his claim.|Southern States|Cherokee Indians|Claims|    |    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|University of Tennessee Special Collections Library, Knoxville|    |1845-03-25|    |Text/html|http://idserver.utk.edu/?id=200400000007530|en|University of Tennessee Special Collections Library|This work is the property of the Special Collections Library, University of Tennessee, Knoxville, TN. It may be used freely by individuals for research, teaching, and personal use as long as this statement of availability is included in the text. For all other use contact the Special Collections Librarian, Hoskins Library, University of Tennessee, 1401 Cumberland Avenue, Knoxville, TN 37996. (865) 974-4480.|    |[Claim] 1845 Mar. 25, United States to John H. Stover : a machine readable transcription of an image|Text
2009-03-06T21:35:03Z|PA0312|tdh|    |    |    |    |    |    |Document ID: pa0312|This document is a claim against the United States by Tobacco Will, a Cherokee, who lost his horses during the removal. The United States rejected his claim.|Southern States|Cherokee Indians|Claim|    |    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|University of Tennessee Special Collections Library, Knoxville|    |1843-03-26|    |Text/html|http://idserver.utk.edu/?id=200400000007531|en|University of Tennessee Special Collections Library|This work is the property of the Special Collections Library, University of Tennessee, Knoxville, TN. It may be used freely by individuals for research, teaching, and personal use as long as this statement of availability is included in the text. For all other use contact the Special Collections Librarian, Hoskins Library, University of Tennessee, 1401 Cumberland Avenue, Knoxville, TN 37996. (865) 974-4480.|    |[Claim] 1843 Mar. 26, The United States to Tobacco Will : a machine readable transcription of an image|Text
2009-03-06T21:35:03Z|PA0318|tdh|    |    |    |    |    |    |Document ID: pa0318|This document is a writ from the Cherokee Nation with orders to summon a Robert Brown to appear at the Chattooga Court house to answer a complaint made by Tarkahakeh and Crying Snak.|Southern States|Cherokee Indians -- Legal status, laws etc.|Legal document|    |    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|University of Tennessee Special Collections Library, Knoxville|    |1830-04-20|    |Text/html|http://idserver.utk.edu/?id=200400000007532|en|University of Tennessee Special Collections Library|This work is the property of the Special Collections Library, University of Tennessee, Knoxville, TN. It may be used freely by individuals for research, teaching, and personal use as long as this statement of availability is included in the text. For all other use contact the Special Collections Librarian, Hoskins Library, University of Tennessee, 1401 Cumberland Avenue, Knoxville, TN 37996. (865) 974-4480.|    |[Writ] 1830 Apr. 20, Cherokee Nation for Robert Brown : a machine readable transcription of an image|Text
2009-03-06T21:35:03Z|PA0319|tdh|    |    |    |    |    |    |Document ID: pa0319|This document is a legal brief of Pathkiller, a Cherokee Indian who was removed from his land. Pathkiller states that he has sued many times to regain his land and has exhausted his funds. He requests a hearing hoping to get back his reservation so he can have a place to live in his old age.|Tennessee|Cherokee Indians -- Land tenure|Legal documents|    |    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|University of Tennessee Special Collections Library, Knoxville|Pathkiller|1837-00-00|    |Text/html|http://idserver.utk.edu/?id=200400000007533|en|University of Tennessee Special Collections Library|This work is the property of the Special Collections Library, University of Tennessee, Knoxville, TN. It may be used freely by individuals for research, teaching, and personal use as long as this statement of availability is included in the text. For all other use contact the Special Collections Librarian, Hoskins Library, University of Tennessee, 1401 Cumberland Avenue, Knoxville, TN 37996. (865) 974-4480.|    |[Legal brief of Pathkiller] 1837 : a machine readable transcription of an image|Text
2009-03-06T21:35:03Z|PA0320|tdh|    |    |    |    |    |    |Document ID: pa0320|This is a legal document, dated March 27, 1838, against The Pathkiller, a Cherokee Indian who lost his land during the removal of the Cherokees west of the Mississippi River. The Pathkiller wants to re-claim his land which was sold to Jane and Willie Blair.|Tennessee|Cherokee Indians -- Land tenure|Legal document|    |    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|University of Tennessee Special Collections Library, Knoxville|    |1838-03-27|    |Text/html|http://idserver.utk.edu/?id=200400000007534|en|University of Tennessee Special Collections Library|This work is the property of the Special Collections Library, University of Tennessee, Knoxville, TN. It may be used freely by individuals for research, teaching, and personal use as long as this statement of availability is included in the text. For all other use contact the Special Collections Librarian, Hoskins Library, University of Tennessee, 1401 Cumberland Avenue, Knoxville, TN 37996. (865) 974-4480.|    |[Legal document] 1838 Mar. 27, Jane and Willie Blair vs. The Pathkiller and Gardenhire : a machine readable transcription of an image|Text
2009-03-06T21:35:03Z|PA0321|tdh|    |    |    |    |    |    |Document ID: pa0321|This document is a deposition given by John Harman in regards to a Reservation lost by The Pathkiller, a Cherokee Indian during the removal period.|Tennessee|Cherokee Indians -- Land tenure|Legal document|    |    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|University of Tennessee Special Collections Library, Knoxville|    |1838-01-02|    |Text/html|http://idserver.utk.edu/?id=200400000007535|en|University of Tennessee Special Collections Library|This work is the property of the Special Collections Library, University of Tennessee, Knoxville, TN. It may be used freely by individuals for research, teaching, and personal use as long as this statement of availability is included in the text. For all other use contact the Special Collections Librarian, Hoskins Library, University of Tennessee, 1401 Cumberland Avenue, Knoxville, TN 37996. (865) 974-4480.|    |[Deposition] 1838 Jan. 2 [of] John Harman [regarding] The Pathkiller's Reservation : a machine readable transcription of an image|Text
2009-03-06T21:35:03Z|PA0322|tdh|    |    |    |    |    |    |Document ID: pa0322|This document is an affidavit given by James Johnston regarding land that belonged to The Pathkiller, a Cherokee Indian. The Pathkiller was dispossessed of his land during the Cherokee removal and fought for years to gain it back.|Tennessee|Cherokee Indians -- Land tenure|Legal document|    |    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|University of Tennessee Special Collections Library, Knoxville|    |1837-11-12|    |Text/html|http://idserver.utk.edu/?id=200400000007536|en|University of Tennessee Special Collections Library|This work is the property of the Special Collections Library, University of Tennessee, Knoxville, TN. It may be used freely by individuals for research, teaching, and personal use as long as this statement of availability is included in the text. For all other use contact the Special Collections Librarian, Hoskins Library, University of Tennessee, 1401 Cumberland Avenue, Knoxville, TN 37996. (865) 974-4480.|    |[Affidavit of James Johnston] 1837 Nov. 12, Roane County, Tennessee : a machine readable transcription of an image|Text
2009-03-06T21:35:03Z|PA0323|tdh|    |    |    |    |    |    |Document ID: pa0323|This document is a deposition given by Margaret Carmichal on December 31, 1838. Her deposition concerns The Pathkiller, a Cherokee Indian who was removed from his land on the Tennessee River. The Pathkiller made several attempts in the court system to regain his land to no avail.|Tennessee|Cherokee Indians -- Land tenure|Legal documents|    |    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|University of Tennessee Special Collections Library, Knoxville|    |1838-12-31|    |Text/html|http://idserver.utk.edu/?id=200400000007537|en|University of Tennessee Special Collections Library|This work is the property of the Special Collections Library, University of Tennessee, Knoxville, TN. It may be used freely by individuals for research, teaching, and personal use as long as this statement of availability is included in the text. For all other use contact the Special Collections Librarian, Hoskins Library, University of Tennessee, 1401 Cumberland Avenue, Knoxville, TN 37996. (865) 974-4480.|    |[Deposition of Margaret Carmichal] 1838 Dec. 31, Roane County, Tennessee : a machine readable transcription of an image|Text
2009-03-06T21:35:03Z|PA0324|tdh|    |    |    |    |    |    |Document ID: pa0324|This document is an affidavit given by Andrew McNabb in regards to a lawsuit against The Pathkiller, a Cherokee Indian. Pathkiller lost his land during the removal and fought to regain it to no avail.|Tennessee|Cherokee Indians -- Land tenure|Legal documents|    |    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|University of Tennessee Special Collections Library, Knoxville|    |1839-01-01|    |Text/html|http://idserver.utk.edu/?id=200400000007538|en|University of Tennessee Special Collections Library|This work is the property of the Special Collections Library, University of Tennessee, Knoxville, TN. It may be used freely by individuals for research, teaching, and personal use as long as this statement of availability is included in the text. For all other use contact the Special Collections Librarian, Hoskins Library, University of Tennessee, 1401 Cumberland Avenue, Knoxville, TN 37996. (865) 974-4480.|    |[Affidavit of Andrew McNabb] 1839 Jan. 1, Monroe County, Tennessee : a machine readable transcription of an image|Text
2009-03-06T21:35:03Z|PA0325|tdh|    |    |    |    |    |    |Document ID: pa0325|This document is a deposition given by David Taylor regarding land belonging to The Pathkiller, a Cherokee Indian. Pathkiller lost the land sometime after the Treaty of 1819 and fought for years to regain it. Upon his death, his daughter and son-in-law, James Thomas Gardenhire fought to gain the value of that land.|Tennessee|Cherokee Indians -- Land tenure|Legal documents|    |    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|University of Tennessee Special Collections Library, Knoxville|    |1843-11-06|    |Text/html|http://idserver.utk.edu/?id=200400000007539|en|University of Tennessee Special Collections Library|This work is the property of the Special Collections Library, University of Tennessee, Knoxville, TN. It may be used freely by individuals for research, teaching, and personal use as long as this statement of availability is included in the text. For all other use contact the Special Collections Librarian, Hoskins Library, University of Tennessee, 1401 Cumberland Avenue, Knoxville, TN 37996. (865) 974-4480.|    |[Deposition of David Taylor] 1843 Nov. 6, Washington County, District of Columbia : a machine readable transcription of an image|Text
2009-03-06T21:35:03Z|PA0326|tdh|    |    |    |    |    |    |Document ID: pa0326|This document is a deposition given by John Rogers and James Cary, of the Cherokee Nation West. The deposition concerns land taken by the United States under the Treaty of 1817 belonging to The Pathkiller, also a member of the Cherokee Nation.|Tennessee|Cherokee Indians -- Legal status, laws, etc.|Cherokee Indians -- Land tenure|Legal documents|    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|University of Tennessee Special Collections Library, Knoxville|    |1844-07-03|    |Text/html|http://idserver.utk.edu/?id=200400000007540|en|University of Tennessee Special Collections Library|This work is the property of the Special Collections Library, University of Tennessee, Knoxville, TN. It may be used freely by individuals for research, teaching, and personal use as long as this statement of availability is included in the text. For all other use contact the Special Collections Librarian, Hoskins Library, University of Tennessee, 1401 Cumberland Avenue, Knoxville, TN 37996. (865) 974-4480.|    |[Depositions of John Rogers and James Cary] 1844 Jul. 3, District of Columbia : a machine readable transcription of an image|Text
2009-03-06T21:35:03Z|PA0327|tdh|    |    |    |    |    |    |Document ID: pa0327|This document is a sworn oath given by John Carmichal on behalf of The Pathkiller, a Cherokee Indian who lost his land a few years after the Treaties of 1817 and 1819. Pathkiller fought for his land through the courts until his death in 1844.|Tennessee|Cherokee Indians -- Land tenure|Legal documents|    |    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|University of Tennessee Special Collections Library, Knoxville|    |1844-12-06|    |Text/html|http://idserver.utk.edu/?id=200400000007541|en|University of Tennessee Special Collections Library|This work is the property of the Special Collections Library, University of Tennessee, Knoxville, TN. It may be used freely by individuals for research, teaching, and personal use as long as this statement of availability is included in the text. For all other use contact the Special Collections Librarian, Hoskins Library, University of Tennessee, 1401 Cumberland Avenue, Knoxville, TN 37996. (865) 974-4480.|    |[Deposition of John Carmichal] 1844 Dec. 6, Bradley County, Tennessee : a machine readable transcription of an image|Text
2009-03-06T21:35:03Z|PAV|tdh|    |    |    |    |    |    |    |    |Cherokee -- Relocation|Southern States|United States -- Politics and government -- 1825-1829|Cherokee Nation|Cherokee Indians -- Treaties|Legal documents|    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|University of Tennessee Special Collections Library, Knoxville|    |1833-00-00|Document ID: pav|Text/html|http://idserver.utk.edu/?id=200300000000312|en|The University of Tennessee Libraries|This work is the property of The University of Tennessee Special Collections Library, Knoxville, TN. It may be used freely by individuals for research, teaching, and personal use as long as this statement of availability is included in the text.|    |Valuations under the treaty of 1828: a machine-readable transcription|Text
2009-03-06T21:35:03Z|SC001|tdh|    |    |    |    |    |    |Document ID: sc001|This document is a receipt for goods dated January 30, 1798. The receipt was given to Anthony Foster and pertained to goods given to two Cherokee Indians in reward for returning 10 stolen horses from the Creek Nation. Their payment of goods, not cash, included a rifle and powder, cloth, thread, buttons, and other domestic goods. The receipt was signed by Edmond Crutcher and Francis B. Sappington.|Southern States|Creek Indians|Cherokee Indians|Receipts|    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|University of Tennessee Special Collections Library, Knoxville|    |1798-01-30|    |Text/html|http://idserver.utk.edu/?id=200300000000313|en|The University of Tennessee Special Collections Library|This work is the property of the Special Collections Library, University of Tennessee, Knoxville, TN. It may be used freely by individuals for research, teaching, and personal use as long as this statement of availability is included in the text.|    |[Receipt], 1798 Jan. 30, [to] Anthony Foster / [signed by] Edm[un]d Crutcher, Francis B. Sappington : a machine-readable transcription of an image|Text
2009-03-06T21:35:03Z|SC002|tdh|    |    |    |    |    |    |Document ID: sc002|"This document is a contract between the State of Tennessee and Philip Denham to teach school in Washington and Carter Counties in 1802. It is one of the earliest Tennessee school contracts in existence. The contract covers Denham's duties as ""School Master"", his rate of pay, and the back of the document has a list of students and their time spent at the school."|Tennessee Headmasters|Tennessee Politics and government To 1865|    |    |    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|University of Tennessee Special Collections Library, Knoxville|    |    |    |Text/html|http://idserver.utk.edu/?id=200300000000314|en|The University of Tennessee Special Collections Library|This work is the property of the Special Collections Library, University of Tennessee, Knoxville, TN. It may be used freely by individuals for research, teaching, and personal use as long as this statement of availability is included in the text.|    |"[Contract] 1802 [between] Philip Denhams and the State of Tennessee for ""Articles of Schoolkeeping"" : a machine-readable transcription of an image"|Text
2009-03-06T21:35:03Z|SC003|tdh|    |    |    |    |    |    |Document ID: sc003|This document is a letter, dated February 15, 1847, written from R. M. Moore at East Tennessee University (former name of the University of Tennessee) to John D. McAdoo in Anderson County. In the letter, Moore related the ill state of his health at the time. He also wrote briefly of recent university news. A new student had enrolled, and Moore had befriended the student in hopes that he would soon join his society. Also, a student by the name of Parshall had left the school and returned home. Moore further expressed disdain for the poor performance of his hall's debate team.|Tennessee History|Tennessee, East|    |    |    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|University of Tennessee Special Collections Library, Knoxville|Moore, R. M|1847-02-15|    |Text/html|http://idserver.utk.edu/?id=200300000000315|en|The University of Tennessee Special Collections Library|This work is the property of the Special Collections Library, University of Tennessee, Knoxville, TN. It may be used freely by individuals for research, teaching, and personal use as long as this statement of availability is included in the text.|    |[Letter] 1847 Feb. 15, E[ast] T[ennessee] University [to] Mr. John D. McAdoo, Clinton, Anderson Co[unty], Tenn[essee] / R. M. Moore: a machine-readable transcription of an image|Text
2009-03-06T21:35:03Z|SC004|tdh|    |    |    |    |    |    |Document ID: sc004|This document is a lottery proposal written on January 3, 1810 to benefit East Tennessee College. The proposal specifies how much and in what manner the money will be given out to the winners and what percentage would be retained by the college. The funds gained through the lottery for the College will benefit the Seminary of Education. The document concludes by giving incentives to the public as to why they should participate in the lottery, such as the fact that it will benefit and education the students of the present, as well as the future.|Tennessee|Tennessee Politics and government To 1865|    |    |    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|University of Tennessee Special Collections Library, Knoxville|    |1810-01-03|    |Text/html|http://idserver.utk.edu/?id=200300000000316|en|The University of Tennessee Special Collections Library|This work is the property of the Special Collections Library, University of Tennessee, Knoxville, TN. It may be used freely by individuals for research, teaching, and personal use as long as this statement of availability is included in the text.|    |[Lottery proposal] 1810 Jan. 03, Knoxville / Trustees Appointed by Act of Assembly: a machine-readable transcription of an image|Text
2009-03-06T21:35:03Z|SC005|tdh|    |    |    |    |    |    |Document ID: sc005|This document is a letter dated December 11, 1837, to Jesse Abernathy in Pulaski, TN, from William R. Brown. In the letter, Brown expressed concern regarding the influence of the Whigs in the state of Tennessee, particularly in Giles County, where Whigs had obtained control of the press. He stated that Henry Clay would be the presidential candidate of the Whigs to rival current president Andrew Jackson. Brown further stated that he had relinquished his political aspirations and had no plans to run for office. He also discussed the issues of banks and a pending bill in the Tennessee legislature that would funnel bond money into the creation of a state bank in Middle Tennessee. Another bill proposing to charter a bank was earlier rejected by the Tennessee senate.|Jackson, Andrew, 1767-1845|Clay, Henry, 1811-1847|Tennessee Politics and government to 1865|Tennessee|Brown, William R.|    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|University of Tennessee Special Collections Library, Knoxville|Brown, William R.|1837-12-11|    |Text/html|http://idserver.utk.edu/?id=200300000000317|en|The University of Tennessee Special Collections Library|This work is the property of the Special Collections Library, University of Tennessee, Knoxville, TN. It may be used freely by individuals for research, teaching, and personal use as long as this statement of availability is included in the text.|    |[Letter] 1837 Dec. 11 [to] Jesse Abernathy Esq[ui]r[e], Pulaski, Tennessee / W[illia]m R Brown : a machine-readable transcription of an image|Text
2009-03-06T21:35:03Z|SC006|tdh|    |    |    |    |    |    |Document ID: sc006|This document is a letter written on May 29, 1844, by George L. Welker to his brother James M. Welker in Knoxville, Tennessee. George L. Welker writes that James K. Polk had just been nominated by the Democrats to run for President. He also explains that he received the news immediately because of a new electromagnetic telegraph that transferred the information from Baltimore to Washington in less than a second.|Polk, James K., James Knox, 1795-1849|Tennessee|Tennessee Politics and government To 1865|    |    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|University of Tennessee Special Collections Library, Knoxville|Welker, George L.|1844-05-29|    |Text/html|http://idserver.utk.edu/?id=200300000000318|en|The University of Tennessee Special Collections Library|This work is the property of the Special Collections Library, University of Tennessee, Knoxville, TN. It may be used freely by individuals for research, teaching, and personal use as long as this statement of availability is included in the text.|    |[Letter] 1844 May 29, Washington [D.C.] [to] James M. Welker, Knoxville, Tenn[essee] / George L. Welker : a machine-readable transcription of an image|Text
